Graph Mode,Mean Pearson,Median Pearson,Mean Spearman,Median Spearman,Mean RMSE,Median RMSE
attention,0.0998,0.1013,0.0941,0.0959,0.3265,0.3071
union,0.0552,0.0583,0.0565,0.0603,0.33,0.3107
intersection,0.0105,0.0079,0.0119,0.009,0.3484,0.317
spatial,0.1505,0.1447,0.1465,0.1425,0.3293,0.3095
feature,0.0314,0.0264,0.0319,0.0305,0.3366,0.3167
attention_cellfeat,0.1251,0.105,0.1138,0.1014,0.3983,0.3275
union_cellfeat,0.1241,0.0978,0.1106,0.0949,0.3951,0.3282
intersection_cellfeat,0.0964,0.0668,0.0899,0.0683,0.4169,0.335
spatial_cellfeat,0.1429,0.1304,0.1363,0.127,0.4124,0.3297
feature_cellfeat,0.1241,0.0964,0.111,0.0955,0.3951,0.3281
attention_uncertainty,0.2119,0.2002,0.2088,0.2061,0.3294,0.3163
union_uncertainty,0.1504,0.1356,0.1403,0.1362,0.3344,0.321
intersection_uncertainty,0.0783,0.0565,0.0709,0.0576,0.3555,0.3292
spatial_uncertainty,0.2635,0.2651,0.2606,0.2599,0.3325,0.3184
feature_uncertainty,0.124,0.0983,0.1138,0.1012,0.3344,0.3218
