Graph Mode,Pearson Tier,n_proteins,mean_pearson,mean_rmse,mean_raw_expression,mean_detection_rate,mean_clr_variance
attention,Low,94,0.013,0.2116,0.7633,0.3319,0.0647
attention,Medium,94,0.0995,0.3101,1.7586,0.5437,0.1138
attention,High,94,0.1869,0.4612,11.7355,0.7586,0.2455
union,Low,94,-0.0113,0.2387,1.0226,0.3812,0.0781
union,Medium,94,0.0559,0.3239,2.7899,0.5445,0.1303
union,High,94,0.1209,0.4308,10.4449,0.7085,0.2156
intersection,Low,94,-0.0456,0.3492,8.0177,0.5029,0.1304
intersection,Medium,94,0.0084,0.3387,2.7189,0.5474,0.1387
intersection,High,94,0.0687,0.3607,3.5209,0.5839,0.1549
spatial,Low,94,0.0413,0.1947,0.6269,0.2982,0.058
spatial,Medium,94,0.144,0.3087,1.7438,0.5429,0.111
spatial,High,94,0.2662,0.4879,11.8867,0.793,0.255
feature,Low,94,-0.0269,0.2779,1.4488,0.4447,0.0932
feature,Medium,94,0.029,0.3132,2.0844,0.5094,0.1198
feature,High,94,0.092,0.4219,10.7243,0.6801,0.211
attention_cellfeat,Low,94,-0.0016,0.2499,0.9521,0.3533,0.062
attention_cellfeat,Medium,94,0.1027,0.3508,2.1154,0.5412,0.1169
attention_cellfeat,High,94,0.2743,0.5978,11.1899,0.7397,0.2451
union_cellfeat,Low,94,-0.0019,0.258,1.1014,0.3643,0.0663
union_cellfeat,Medium,94,0.098,0.3512,2.2058,0.5545,0.1233
union_cellfeat,High,94,0.2762,0.5798,10.9502,0.7154,0.2345
intersection_cellfeat,Low,94,-0.0044,0.2823,1.1505,0.3875,0.0739
intersection_cellfeat,Medium,94,0.0709,0.4318,6.9848,0.5442,0.1345
intersection_cellfeat,High,94,0.2226,0.5406,6.1222,0.7025,0.2156
spatial_cellfeat,Low,94,0.0075,0.2247,0.6539,0.3023,0.0494
spatial_cellfeat,Medium,94,0.1273,0.3582,1.9679,0.5647,0.1129
spatial_cellfeat,High,94,0.2937,0.6582,11.6357,0.7672,0.2618
feature_cellfeat,Low,94,0.0012,0.2481,0.976,0.3473,0.0627
feature_cellfeat,Medium,94,0.0969,0.3598,2.3241,0.5581,0.1251
feature_cellfeat,High,94,0.2744,0.581,10.9574,0.7288,0.2362
attention_uncertainty,Low,94,0.0602,0.1944,0.7279,0.2831,0.0486
attention_uncertainty,Medium,94,0.1987,0.3403,2.4365,0.5989,0.1291
attention_uncertainty,High,94,0.3769,0.4571,11.0931,0.7522,0.2462
union_uncertainty,Low,94,0.0199,0.2019,0.6675,0.2995,0.0496
union_uncertainty,Medium,94,0.1301,0.3686,4.8901,0.6092,0.1511
union_uncertainty,High,94,0.3011,0.4363,8.6998,0.7255,0.2233
intersection_uncertainty,Low,94,-0.0168,0.3224,7.9446,0.4451,0.1051
intersection_uncertainty,Medium,94,0.0544,0.3506,2.5752,0.5545,0.1346
intersection_uncertainty,High,94,0.1972,0.3973,3.7376,0.6346,0.1843
spatial_uncertainty,Low,94,0.0897,0.1758,0.3876,0.2488,0.0357
spatial_uncertainty,Medium,94,0.2607,0.3463,2.3579,0.6102,0.1311
spatial_uncertainty,High,94,0.4402,0.4789,11.5119,0.7752,0.2572
feature_uncertainty,Low,94,0.0039,0.2167,0.8913,0.3269,0.0574
feature_uncertainty,Medium,94,0.0954,0.3708,4.7438,0.6148,0.1501
feature_uncertainty,High,94,0.2726,0.4191,8.6224,0.6924,0.2165
