Component,Explained Variance Ratio,Cumulative
1,0.102099285,0.102099285
2,0.007569258,0.109668545
3,0.006457494,0.11612604
4,0.006204284,0.12233032
5,0.0058874656,0.12821779
6,0.00546765,0.13368544
7,0.0053367186,0.13902216
8,0.0052385484,0.1442607
9,0.0051811934,0.1494419
10,0.0050046104,0.15444651
11,0.0048846547,0.15933117
12,0.00481923,0.1641504
13,0.0047554052,0.16890581
14,0.004659856,0.17356567
15,0.0046058996,0.17817158
16,0.0045173867,0.18268897
17,0.00445297,0.18714194
18,0.004409844,0.19155179
19,0.004272436,0.19582422
20,0.0041987873,0.20002301
21,0.0041541657,0.20417717
22,0.004091171,0.20826834
23,0.0040493654,0.2123177
24,0.004024251,0.21634196
25,0.0039342404,0.22027619
26,0.0038780735,0.22415426
27,0.0038383037,0.22799256
28,0.0038106905,0.23180325
29,0.003767346,0.2355706
30,0.0037416404,0.23931223
31,0.0037091775,0.24302141
32,0.003614493,0.24663591
